시설명,시설유형,소재지도로명주소,소재지지번주소,위도,경도,영업상태명,전화번호,건립일자,건물면적,관리기관명,데이터기준일자,제공기관코드,제공기관명
오송대원칸타빌아파트경로당,경로당,충청북도 청주시 흥덕구 오송읍 연제만수길 17,충청북도 청주시 흥덕구 오송읍 연제리 740,36.62689822,127.3266151,영업,,2013-11-06,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송모아미래도아파트경로당,경로당,충청북도 청주시 흥덕구 오송읍 오송생명3로 87 (모아미래도),충청북도 청주시 흥덕구 오송읍 연제리 726,36.63071488,127.3261888,영업,,2011-07-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송상록롯데캐슬아파트경로당,경로당,충청북도 청주시 흥덕구 오송읍 오송생명5로 202 (롯데캐슬),충청북도 청주시 흥덕구 오송읍 연제리 731,36.63047513,127.3287943,영업,,2011-08-08,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송역대광로제비앙1차,경로당,충청북도 청주시 흥덕구 오송읍 오송생명8로 178 (오송역 대광로제비앙),충청북도 청주시 흥덕구 오송읍 봉산리 1510,36.61772103,127.3194219,영업,,2024-02-02,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송역동아라이크텐아파트경로당,경로당,충청북도 청주시 흥덕구 오송읍 오송생명14로 215 (오송역 동아라이크텐),충청북도 청주시 흥덕구 오송읍 봉산리 1527,36.61405409,127.3096949,영업,,2020-11-25,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송읍분회,경로당,충청북도 청주시 흥덕구 오송읍 오송2길 19,충청북도 청주시 흥덕구 오송읍 오송리 61-1,36.6118908,127.3256219,영업,,1997-12-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송호반베르디움아파트경로당,경로당,충청북도 청주시 흥덕구 오송읍 오송생명3로 111 (호반베르디움),충청북도 청주시 흥덕구 오송읍 연제리 736,36.62722129,127.3250288,영업,,2011-06-21,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오송힐데스하임아파트경로당,경로당,충청북도 청주시 흥덕구 오송읍 오송생명1로 152 (오송힐데스하임A),충청북도 청주시 흥덕구 오송읍 연제리 700,36.63275007,127.3213226,영업,,2012-12-20,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오창2지구대원칸타빌아파트경로당,경로당,"충청북도 청주시 청원구 오창읍 2산단4로 55, 관리동",충청북도 청주시 청원구 오창읍 창리 160,36.73811476,127.4498515,영업,,2019-04-16,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오창경로당,경로당,충청북도 청주시 청원구 오창읍 공항로 1026-6,충청북도 청주시 청원구 오창읍 창리 48,36.74020051,127.453688,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오창대성베르힐아파트경로당,경로당,"충청북도 청주시 청원구 오창읍 2산단로 160, 관리동",충청북도 청주시 청원구 오창읍 주성리 556,36.73426364,127.4522352,영업,,2019-08-30,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
오창롯데캐슬아파트경로당,경로당,충청북도 청주시 청원구 오창읍 중부로 760,충청북도 청주시 청원구 오창읍 양청리 810-2,36.7115571,127.4370936,영업,,2019-10-11,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
옥산면분회,경로당,충청북도 청주시 흥덕구 옥산면 옥산시내1길 27,충청북도 청주시 흥덕구 옥산면 오산리 535-2,36.6637589,127.3742225,영업,,2009-04-17,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
양촌1리경로당,마을회관및경로당,충청북도 청주시 서원구 남이면 양촌1길 15,충청북도 청주시 서원구 남이면 양촌리 121,36.58596659,127.4671952,영업,,1999-02-24,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
양촌2리경로당,마을회관및경로당,충청북도 청주시 서원구 남이면 양촌2길 46-6,충청북도 청주시 서원구 남이면 양촌리 291-7,36.5924245,127.4649333,영업,,2017-08-04,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
양촌3리경로당,마을회관및경로당,충청북도 청주시 서원구 남이면 양촌3길 66,충청북도 청주시 서원구 남이면 양촌리 94-1,36.58758623,127.4714211,영업,,1999-12-21,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
양촌4리경로당,마을회관및경로당,충청북도 청주시 서원구 남이면 양촌4길 43-8,충청북도 청주시 서원구 남이면 양촌리 53-17,36.59115307,127.4731584,영업,,2023-04-13,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
어암1리,마을회관및경로당,충청북도 청주시 상당구 미원면 어암1길 81,충청북도 청주시 상당구 미원면 어암리 267-2,36.62061291,127.7390167,영업,,1997-12-10,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
어암2리방마루,마을회관및경로당,충청북도 청주시 상당구 미원면 어암길 13-41,충청북도 청주시 상당구 미원면 어암리 215-2,36.61390837,127.7340517,영업,,2007-11-06,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
어암2리인봉,마을회관및경로당,충청북도 청주시 상당구 미원면 어암2길 20,충청북도 청주시 상당구 미원면 어암리 33-1,36.61087441,127.7535098,영업,,1993-03-06,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
여천1리경로당,마을회관및경로당,충청북도 청주시 청원구 오창읍 여천1길 16-5,충청북도 청주시 청원구 오창읍 여천리 488,36.77012239,127.4916934,영업,,1993-01-12,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
여천2리경로당,마을회관및경로당,충청북도 청주시 청원구 오창읍 여천3길 60,충청북도 청주시 청원구 오창읍 여천리 389,36.77201327,127.4983638,영업,,1992-01-24,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
연당경로당,경로당,충청북도 청주시 흥덕구 흥덕로108번길 26 (운천동),충청북도 청주시 흥덕구 운천동 950,36.64394624,127.4742872,영업,,1997-01-01,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
연정1리,마을회관및경로당,충청북도 청주시 흥덕구 강내면 서부로 615,충청북도 청주시 흥덕구 강내면 연정리 124-3,36.58440585,127.3844749,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
연정2리,마을회관및경로당,충청북도 청주시 흥덕구 강내면 연정2길 4,충청북도 청주시 흥덕구 강내면 연정리 5,36.58555405,127.3871301,영업,,1994-03-31,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
연제리경로당,마을회관및경로당,충청북도 청주시 흥덕구 오송읍 연제1길 37,충청북도 청주시 흥덕구 오송읍 연제리 530,36.62651754,127.3209263,영업,,1989-05-29,,충청북도 청주시청,2024-11-11,5710000,충청북도 청주시
