"RSTR_NM","DTL_ADRES","RN_DTL_ADRES","LO","LA","USE_PSB_NMPR","COLR_HOLD_ELEFN","COLR_HOLD_ARCDTN","CHCK_MATTER_NIGHT_OPN_AT","FCLTY_OPRN_AT"
"증평리","290-1","충청북도 증평군 증평읍 대동1길 6 ",127.5847143,36.7816866,,1,,"N","Y"
"삼일아파트","255-0","충청북도 증평군 증평읍 장뜰로 110 (삼일아파트)",127.5881839,36.7867319,,1,,"N","Y"
"성동신협","2-10 성동신협","충청북도 청주시 서원구  모충로  25 , 성동신협 (개신동)",127.4668284,36.6251555,,0,,"N","Y"
"원농촌경로당","176-1 원농촌경로당","충청북도 청주시 서원구  성화로40번길  25-11, 원농촌경로당 (성화동)",127.4483603,36.6098459,,2,,"N","Y"
"삼정백조아파트경로당","310-0","충청북도 청주시 흥덕구 1순환로513번길 33 (신봉동, 삼정백조아파트)",127.4675105,36.6454885,,1,,,"Y"
"고은1리아래고분터경로당","444-3","충청북도 청주시 상당구 남일면 고은2길 23-34",127.511826,36.5644444,,4,,"N","Y"
"은행2리경로당","372-1","충청북도 청주시 상당구 남일면 은행길 48-1",127.5532381,36.5728466,,2,,"N","Y"
"황청리경로당","72-1","충청북도 청주시 상당구 남일면 황청리길 59",127.5573303,36.5915834,,2,,"N","Y"
"효촌2리경로당","119-0","충청북도 청주시 상당구 남일면 효촌송정2길 8-30",127.5066929,36.5871296,,4,,"N","Y"
"복대1동행정복지센터","3028 복대1동주민센터","충청북도 청주시 흥덕구  증안로  86 , 복대1동주민센터 (복대동)",127.432493,36.6355256,,7,,"N","Y"
"벽산경로당","2606-0","충청북도 청주시 흥덕구 짐대로 6",127.4245486,36.6360613,,2,,"N","Y"
"두진경로당","2459 두진백로아파트 두진경로당","충청북도 청주시 흥덕구  증안로  33 , 두진경로당 (복대동, 두진백로아파트)",127.42714,36.6369519,,1,,"N","Y"
"죽림경로당","156-0","충청북도 청주시 서원구 대림로421번길 76",127.439984,36.6062873,,3,,"N","Y"
"송학삼익@경로당","446-2","충청북도 청주시 서원구 1순환로 785 (개신동)",127.4651934,36.6239859,,2,,"N","Y"
"성화주공1차@경로당","634-0","충청북도 청주시 서원구 성봉로 88",127.4544341,36.6137999,,2,,"N","Y"
"푸르지오@경로당","634 청주 개신 푸르지오 푸르지오@경로당","충청북도 청주시 서원구  신율로  13 , 푸르지오@경로당 (개신동, 청주 개신 푸르지오)",127.4463972,36.6186912,,2,,"N","Y"
"삼일아파트경로당","580-1","충청북도 청주시 흥덕구 사운로280번길 9 (운천동)",127.4731074,36.652884,,1,,,"Y"
"형석아파트경로당","676-0","충청북도 청주시 흥덕구 사운로 281 (운천동)",127.4710212,36.6527908,,1,,,"Y"
"한성아파트경로당","529 한성아파트 한성아파트경로당","충청북도 청주시 흥덕구  1순환로  451 , 한성아파트경로당 (신봉동, 한성아파트)",127.4694707,36.6504166,,1,,,"Y"
"개신주공1단지@경로당","613-0","충청북도 청주시 서원구 경신로 65 (개신동)",127.4480085,36.6225479,,2,,"N","Y"
"강서2동행정복지센터","838","충청북도 청주시 흥덕구 송화로108번길 95  (송절동, 강서2동 행정복지센터)",127.4537402,36.6660814,,1,,"N","Y"
"진재경로당","3025 진재경로당","충청북도 청주시 흥덕구  진재로48번길  17 , 진재경로당 (복대동)",127.4307001,36.6356186,,1,,"N","Y"
"산남계룡리슈빌아파트경로당","1102 계룡리슈빌아파트 산남계룡아파트경로당","충청북도 청주시 서원구  산남로  23 , 산남계룡아파트경로당 (산남동, 계룡리슈빌아파트)",127.4711059,36.610318,,2,,"N","Y"
"백수경로당(우성1차)","320 우성아파트 백수경로당","충청북도 청주시 서원구  청남로2005번길  96 , 백수경로당 (분평동, 우성아파트)",127.4802252,36.6101806,,2,,"N","Y"
"주공2경로당","1202-0","충청북도 청주시 서원구 1순환로1137번길 129 (분평동, 주공2단지아파트)",127.4918264,36.6121626,,2,,"N","Y"
"주공3-1경로당","1200 주공3-1경로당","충청북도 청주시 서원구  1순환로1137번길  130 , 주공3-1경로당 (분평동)",127.4939314,36.6124183,,2,,"N","Y"
"주공4차경로당","321 주공4차 경로당","충청북도 청주시 서원구 수곡동 구룡산로  275-34, 주공4차 경로당 (수곡동)",127.4760715,36.6192796,,4,,"N","Y"
"다안채아파트경로당","1034-0","충청북도 청주시 서원구 구룡산로52번길 51 (성화동, 다안채6단지아파트)",127.4517851,36.6120033,,2,,"N","Y"
"성화주공4단지아파트경로당","708-0","충청북도 청주시 서원구 장전로 11 (성화동, 성화휴먼시아4단지)",127.4510099,36.6176719,,1,,"N","Y"
"용호경로당","981-0","충청북도 청주시 서원구 용호로15번길 126",127.4463559,36.614324,,2,,"N","Y"
"배티경로당","279-17","충청북도 청주시 서원구 성봉로192번길 55 (개신동)",127.4501449,36.624143,,1,,"N","Y"
"성화3단지아파트경로당","616-0","충청북도 청주시 서원구 신성화로 12 (성화동)",127.459947,36.6161692,,2,,"N","Y"
"삼익2차아파트경로당","11-0","충청북도 청주시 서원구 창직로12번길 65 (개신동, 삼익2차아파트)",127.4655233,36.628078,,2,,"N","Y"
